what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.palm.pdt.ui.launch.shortcut.run",1291868489966
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868500077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868565704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868602252
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868606155
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1291868614299
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291868616079
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291868617883
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1291868618261
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291868618395
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1291868630569
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291868632605
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291868637326
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868639475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868646158
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1291868649971
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1291868656581
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1291868658454
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291868667766
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1291868673252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1291868676307
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291868680624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868681984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868694874
executed,command,,,"com.palm.pdt.ui.launch.shortcut.run",1291868703779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868712526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868740101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291868745764
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178042121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178072835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178102205
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.core",1292178129642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178132720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178133471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178136728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178137181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178145209
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292178420186
